6 30
24 2 0
33 11 0
5 28 0
9 18 0
14 3 0
5 20 0
16 9 0
23 32 0
6 18 0
28 17 0
24 28 0
11 6 0
16 21 0
18 12 0
11 6 0
9 19 0
26 20 0
20 22 0
7 14 0
27 10 0
1 21 0
10 5 0
5 2 0
7 25 0
23 28 0
14 26 0
34 19 0
4 22 0
34 9 0
2 32 0
30 35 14
13 30 7
13 35 10
13 14 7
13 15 12
1 22 12
1 11 17
1 3 8
1 30 10
1 13 17
1 15 14
1 9 7
1 12 16
19 35 21
19 30 13
14 30 12
14 35 9
14 25 8
14 31 16
14 15 12
9 12 16
9 22 18
9 13 15
9 15 7
9 33 18
9 21 19
8 19 14
8 18 22
8 16 12
8 27 17
8 24 17
8 35 4
8 30 15
26 28 10
12 22 15
12 21 8
16 18 16
16 27 9
16 24 21
16 19 16
20 34 13
20 31 16
20 23 5
5 24 14
5 32 15
5 25 15
4 26 5
4 28 9
4 6 4
4 18 10
4 19 9
4 30 8
4 11 7
31 34 11
24 27 11
24 29 19
24 32 19
24 35 15
29 32 17
17 33 16
17 31 15
17 34 15
0 25 15
0 2 14
0 5 5
0 23 4
0 31 18
7 21 18
7 12 25
7 9 16
7 15 15
7 33 19
6 28 9
6 18 14
6 19 16
6 26 9
11 26 3
11 22 10
27 29 9
27 32 14
10 15 17
10 13 15
10 14 5
10 25 11
10 31 10
10 34 19
10 17 13
10 33 18
15 17 21
15 33 9
18 19 7
2 35 18
2 8 23
2 24 4
2 32 18
2 5 14
2 25 13
2 14 17
3 11 9
3 26 9
3 4 11
3 19 13
3 30 5
3 13 12
3 22 13
23 31 18
23 25 14
23 34 15
25 35 15
25 31 8
